,netflix_id,amazon_id,disney_id,en_title,title,orig_lang,release_year,duration,score,genre,overview,rating_score
2562,s5960,s7055,-,21,21,English,2008,123,67.0,"['Drama', 'Crime']","Ben Campbell is a young, highly intelligent, student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to  a small but secretive club.  Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa in to count cards at blackjack.",Good
2563,s6001,-,-,21 & Over,21 & Over,English,2013,93,58.0,['Comedy'],"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",Average
2571,s4523,-,-,22 July,22 July,English,2018,144,71.0,"['History', 'Drama', 'Thriller', 'Crime']","On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved.",Good
2589,s6007,-,-,28 Days,28 Days,English,2000,104,61.0,"['Comedy', 'Drama']","After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",Average
2596,s1609,-,-,3 Days to Kill,3 Days to Kill,English,2014,117,61.0,"['Action', 'Drama', 'Thriller']","A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",Average
2600,s1115,-,-,3 Idiots,3 Idiots,Hindi,2009,164,80.0,"['Drama', 'Comedy']","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",Good
2624,s6013,-,-,30 Minutes or Less,30 Minutes or Less,English,2011,83,57.0,"['Action', 'Adventure', 'Comedy']","Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",Average
2655,-,s5673,-,47 Meters Down: Uncaged,47 Meters Down Uncaged,English,2019,90,57.0,"['Horror', 'Drama', 'Adventure']","Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",Average
2672,s6019,-,-,50 First Dates,50 First Dates,English,2004,99,68.0,"['Comedy', 'Romance']","Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",Good
2689,s559,-,-,6 Bullets,6 Bullets,English,2012,115,61.0,"['Thriller', 'Action', 'Crime']",An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,Average
2690,s6022,s4455,-,6 Days,6 Days,English,2017,94,60.0,"['Action', 'Drama', 'History', 'Thriller']","London, England, April 1980. Six terrorists assault the Embassy of Iran and take hostages. For six days, tense negotiations are held while the authorities decide whether a military squad should intervene.",Average
2692,s3151,-,-,6 Underground,6 Underground,English,2019,129,63.0,"['Action', 'Comedy', 'Thriller']","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",Average
2700,-,s3454,-,6-Headed Shark Attack,6Headed Shark Attack,English,2018,89,50.0,"['Horror', 'Action', 'Science Fiction', 'TV Movie']","What is supposed to be a marriage boot camp on a remote island turns into the ultimate test for survival when a 6-headed shark starts attacking the beach. Trapped with minimal weapons they try to fight off the shark, but quickly discover that no one is safe in the water or on land.",Bad
2713,-,s4474,-,7500,7500,English,2020,93,61.0,"['Action', 'Drama', 'Thriller']","When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.",Average
2726,s5959,-,-,9,9,English,2009,80,69.0,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']","When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",Good
2747,s1845,-,-,A Babysitter's Guide to Monster Hunting,A Babysitter's Guide to Monster Hunting,English,2020,99,62.0,"['Family', 'Fantasy', 'Adventure', 'Comedy']","Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",Average
2748,s6028,-,-,A Bad Moms Christmas,A Bad Moms Christmas,English,2017,104,63.0,['Comedy'],"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.",Average
2763,s6031,-,-,A Bridge Too Far,A Bridge Too Far,English,1977,176,72.0,"['Drama', 'History', 'War']","Operation Market Garden, September 1944. The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines.",Good
2768,-,-,s714,A Bug's Life,A Bug's Life,English,1998,98,70.0,"['Adventure', 'Animation', 'Comedy', 'Family']","On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",Good
2786,s5164,-,-,A Christmas Prince,A Christmas Prince,English,2017,92,66.0,"['Romance', 'TV Movie']","When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",Good
2795,s3189,-,-,A Cinderella Story: Christmas Wish,A Cinderella Story Christmas Wish,English,2019,86,64.0,"['Comedy', 'Music', 'Romance', 'Fantasy']","Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden’s Santa Land.",Average
2799,s464,-,-,A Classic Horror Story,A Classic Horror Story,Italian,2021,95,59.0,"['Horror', 'Mystery']","Five people travelling by camper crash into a tree. When they recover, the road they were driving on has been replaced by an impenetrable forest and a wooden house.",Average
2829,s3010,-,-,A Fall from Grace,A Fall from Grace,English,2020,121,71.0,"['Drama', 'Thriller', 'Mystery']","When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",Good
2851,s5060,-,-,A Futile and Stupid Gesture,A Futile and Stupid Gesture,English,2018,102,65.0,['Comedy'],"The National Lampoon name became globally recognized after the monumental success of Animal House—but before the glory days, it was a scrappy yet divinely subversive magazine and radio show that introduced the world to comedic geniuses like Bill Murray, Chevy Chase, John Belushi, and Gilda Radner. The driving force behind National Lampoon was Doug Kenney, and his truly wild and crazy story unfolds in A Futile and Stupid Gesture from Harvard to Hollywood to Caddyshack and beyond.",Good
2852,s3044,-,-,A Ghost Story,A Ghost Story,English,2017,92,71.0,"['Drama', 'Fantasy']","Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",Good
2862,-,s3654,-,A Good Man,A Good Man,English,2014,103,51.0,['Action'],"After an illustrious special ops career ends in disaster, Alexander goes off the grid and attempts to lead a quiet life as a handyman at an apartment complex. But when one of his tenants and her family fall under the thumb of a Russian gangster, Alexander is dragged into an all-out war between rival Chinese and Russian gangs; forcing him to not only defend the family, but bringing him face to face with an old foe, and giving him one more chance to reconcile his past.",Bad
2866,-,-,s715,A Goofy Movie,A Goofy Movie,English,1995,81,70.0,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']","Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",Good
2872,s6040,-,-,A Haunted House,A Haunted House,English,2013,86,58.0,"['Comedy', 'Horror']","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",Average
2873,s741,-,-,A Haunted House 2,A Haunted House 2,English,2014,86,61.0,"['Comedy', 'Horror']","After exorcising the demons of his ex-, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",Average
2957,-,s3403,-,A Nun's Curse,A Nun's Curse,English,2020,73,64.0,['Horror'],A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,Average
2962,s776,-,-,A Perfect Ending,A Perfect Ending,English,2012,110,64.0,"['Drama', 'Romance']","This intimate drama follows Rebecca, a woman who has kept her sexuality a secret from her friends but chooses to reveal it to a stranger. While Rebecca's revelations may not yield the results she expects, a perfect ending is still in reach.",Average
2978,s6054,-,-,A Princess for Christmas,A Princess for Christmas,English,2011,91,71.0,"['Comedy', 'Family', 'TV Movie', 'Romance']","After her sister and brother-in-law's tragic deaths, an American woman who is the guardian for her young niece and nephew is invited to a royal European castle for Christmas by her late brother-in-law's father, the Duke of Castlebury. Feeling out of place as a commoner, she is determined to give her family a merry Christmas and surprises herself when she falls for a handsome prince.",Good
3045,s6062,-,-,A Thousand Words,A Thousand Words,English,2012,92,61.0,"['Drama', 'Comedy']","Jack McCall is a fast-talking literary agent, who can close any deal, any time, any way. He has set his sights on New Age guru Dr. Sinja for his own selfish purposes. But Dr. Sinja is on to him, and Jack’s life comes unglued after a magical Bodhi tree mysteriously appears in his backyard. With every word Jack speaks, a leaf falls from the tree and he realizes that when the last leaf falls, both he and the tree are toast. Words have never failed Jack McCall, but now he’s got to stop talking and conjure up some outrageous ways to communicate or he’s a goner.",Average
3074,s6063,-,-,A Walk to Remember,A Walk to Remember,English,2002,102,77.0,"['Drama', 'Romance']","When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.",Good
3079,s1157,-,-,A Week Away,A Week Away,English,2021,98,69.0,"['Drama', 'Music', 'Romance', 'Comedy']","Troubled teen Will Hawkins has a run-in with the law that puts him at an important crossroad: go to juvenile detention or attend a Christian summer camp. At first a fish-out-of-water, Will opens his heart, discovers love with a camp regular, and sense of belonging in the last place he expected to find it.",Good
3089,s6066,-,-,A Wrinkle in Time,A Wrinkle in Time,English,2018,110,51.0,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']","After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",Bad
3090,-,-,s600,Not Known,Not Known,English,2018,112,51.0,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']","After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",Bad
3124,s5793,-,-,ARQ,ARQ,English,2016,89,61.0,"['Science Fiction', 'Thriller']",Two old friends living in a dystopic future become trapped in a mysterious time loop — one that may have something to do with an ongoing battle between an omnipotent corporation and a ragtag band of rebels.,Average
3130,s6070,-,-,A-X-L,AXL,English,2018,99,63.0,"['Science Fiction', 'Action', 'Adventure', 'Family']",The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,Average
3186,s3909,-,-,About Time,About Time,English,2013,123,79.0,"['Drama', 'Romance', 'Fantasy']","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",Good
3188,s6082,-,-,About a Boy,About a Boy,English,2002,101,67.0,"['Drama', 'Comedy', 'Romance']","Will Freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. But when he invents an imaginary son in order to meet attractive single moms, Will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named Marcus. Now, as Will struggles to teach Marcus the art of being cool, Marcus teaches Will that you're never too old to grow up.",Good
3203,s1103,-,-,Accepted,Accepted,English,2006,93,64.0,['Comedy'],"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",Average
3206,-,s7426,-,Accident Man,Accident Man,English,2018,106,61.0,"['Action', 'Crime', 'Thriller']","Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.",Average
3229,s6087,-,-,Act of Valor,Act of Valor,English,2012,110,65.0,"['Action', 'Thriller', 'War']","When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",Good
3236,s5065,-,-,Acts of Vengeance,Acts of Vengeance,English,2017,87,59.0,"['Thriller', 'Action', 'Drama']","A fast-talking lawyer transforms his body and takes a vow of silence, not to be broken until he finds out who killed his wife and daughter and has his revenge.",Average
3237,s6089,-,-,Acts of Violence,Acts of Violence,English,2018,87,57.0,"['Action', 'Crime', 'Thriller']","When his fiancee is kidnapped by human traffickers, Roman and his ex-military brothers set out to track her down and save her before it is too late. Along the way, Roman teams up with Avery, a cop investigating human trafficking and fighting the corrupt bureaucracy that has harmful intentions.",Average
3261,s6092,-,-,Adore,Adore,English,2013,111,61.0,['Drama'],"Lil and Roz are two lifelong friends, having grown up together as neighbors in an idyllic beach town. As adults, their sons have developed a friendship as strong as that which binds their mothers. One summer, all four are confronted by simmering emotions that have been mounting between them, and each find unexpected happiness in relationships that cross the bounds of convention.",Average
3263,s2060,-,-,Adrift,Adrift,English,2018,96,69.0,"['Thriller', 'Romance', 'Adventure']","Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved.",Good
3288,s3439,-,-,After,After,English,2019,106,72.0,"['Romance', 'Drama']","Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",Good
3296,s6096,-,-,After Porn Ends,After Porn Ends,English,2012,93,57.0,['Documentary'],"Documentary examining what happens to some of the biggest names in the history of the adult entertainment industry after they leave the business and try and live ""normal"" lives.",Average
3298,s6097,-,-,After Porn Ends 3,After Porn Ends 3,English,2018,87,55.0,['Documentary'],After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a perfomer's life once retired.,Average
3312,s114,-,-,Afterlife of the Party,Afterlife of the Party,English,2021,110,68.0,"['Fantasy', 'Comedy', 'Drama']",A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,Good
3313,s308,-,-,Aftermath,Aftermath,English,2021,115,63.0,"['Horror', 'Crime', 'Drama', 'Thriller']","Desperate to save their marriage, a young couple takes a deal to move into their dream home, but disturbing events reveal the house's troubled history.",Average
3314,-,s4856,-,Afternoon Delight,Afternoon Delight,English,2013,98,58.0,"['Comedy', 'Drama']","Rachel is a quick-witted and lovable stay-at-home mom. Frustrated with the realities of preschool auctions, a lacklustre sex life and career that's gone kaput, she visits a strip club to spice up her marriage and meets McKenna, a stripper she adopts as her live-in nanny.",Average
3324,s6100,-,-,Agatha and the Truth of Murder,Agatha and the Truth of Murder,English,2018,92,62.0,"['Drama', 'Mystery']","England, December 1926. Although her personal life is in tatters, the famous writer Agatha Christie decides to leave everything behind to help unravel an unsolved murder committed on a train six years ago, unable to imagine the disproportionate consequences that such a selfless act will cause.",Average
3352,s560,-,-,Air Force One,Air Force One,English,1997,125,65.0,"['Action', 'Thriller']","Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",Good
3379,-,-,s720,Aladdin and the King of Thieves,Aladdin and the King of Thieves,English,1996,86,63.0,"['Adventure', 'Animation', 'Family']","Legendary secrets are revealed as Aladdin and his friends—Jasmine, Abu, Carpet and, of course, the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.",Average
3401,s4834,-,-,Alex Strangelove,Alex Strangelove,English,2018,100,66.0,"['Comedy', 'Drama']","Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",Good
3404,-,-,s352,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",English,2014,83,62.0,"['Family', 'Comedy']","Alexander's day begins with gum stuck in his hair, followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day.",Average
3422,-,-,s421,Alice Through the Looking Glass,Alice Through the Looking Glass,English,2016,115,66.0,"['Adventure', 'Family', 'Fantasy']",Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.,Good
3442,s3936,-,-,Alien Warfare,Alien Warfare,English,2019,88,41.0,"['Action', 'Science Fiction', 'Thriller']",A team of Navy Seals investigates a mysterious science outpost only to have to combat a squad of powerful alien soldiers.,Bad
3469,s6117,-,-,All Dogs Go to Heaven,All Dogs Go to Heaven,English,1989,85,67.0,"['Drama', 'Animation', 'Family', 'Comedy', 'Fantasy']","When a casino-owning dog named Charlie is murdered by his rival Carface, he finds himself in Heaven basically by default since all dogs go to heaven. However, since he wants to get back at his killer, he cons his way back to the living with the warning that doing that damns him to Hell. Once back, he teams with his old partner, Itchy, to prep his retaliation. He also stumbles onto an orphan girl who can talk to the animals, thus allowing him to get the inside info on the races to ensure his wins to finance his plans. However, all the while, he is still haunted by nightmares of what's waiting for him on the other side unless he can prove that he is worthy of Heaven again.",Good
3506,s6122,-,-,All the Devil's Men,All the Devil's Men,English,2018,100,59.0,['Action'],"A battle-scarred War on Terror bounty hunter is forced to go to London on a manhunt for a disavowed CIA operative, which leads him into a deadly running battle with a former military comrade and his private army.",Average
3537,s6124,-,-,Along Came a Spider,Along Came a Spider,English,2001,103,63.0,"['Crime', 'Mystery', 'Thriller', 'Action']","After the harrowing death of his partner, detective and best-selling author Alex Cross has retreated to the peace of retirement. But when a brilliant criminal kidnaps a senator's young daughter, Alex is lured back into action. Teamed with the Secret Service agent assigned to protect the missing girl, Alex follows a serpentine trail of clues that leads him to a stunning discovery - the kidnapper wants more than just ransom.",Average
3559,-,-,s82,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks The Road Chip,English,2015,92,60.0,"['Adventure', 'Animation', 'Comedy', 'Family']","Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",Average
3576,s4936,-,-,Amateur,Amateur,English,2018,96,65.0,['Drama'],14-year-old basketball phenom Terron Forte has to navigate the under-the-table world of amateur athletics when he is recruited to an elite NCAA prep school.,Good
3594,s619,-,-,America: The Motion Picture,America The Motion Picture,English,2021,98,58.0,"['Animation', 'Action', 'Comedy']",A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,Average
3599,-,s3290,-,American Animals,American Animals,English,2018,117,68.0,"['Drama', 'Crime', 'Documentary']","Lexington, Kentucky, 2004. Four young men attempt to execute one of the most audacious art heists in the history of the United States.",Good
3600,s6135,-,-,American Assassin,American Assassin,English,2017,112,64.0,"['Action', 'Thriller']","Following the murder of his fiancée, Mitch Rapp trains under the instruction of Cold War veteran Stan Hurley. The pair then is enlisted to investigate a wave of apparently random attacks on military and civilian targets.",Average
3641,s1016,-,-,American Me,American Me,English,1992,126,74.0,"['Crime', 'Drama']","During his 18 years in Folsom Prison, street-gang leader Santana rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits.",Good
3642,-,s8345,-,Not Known,Not Known,English,1992,127,74.0,"['Crime', 'Drama']","During his 18 years in Folsom Prison, street-gang leader Santana rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits.",Good
3660,s6148,-,-,American Psycho,American Psycho,English,2000,102,74.0,"['Thriller', 'Drama', 'Crime']","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",Good
3670,s475,-,-,American Ultra,American Ultra,English,2015,96,61.0,"['Comedy', 'Action']","Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",Average
3698,s6150,-,-,Amy,Amy,English,2015,128,76.0,"['Documentary', 'Music']","A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs.",Good
3711,s6152,-,-,An American Tail,An American Tail,English,1986,80,67.0,"['Drama', 'Family', 'Animation', 'Adventure']","A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",Good
3712,s6153,-,-,An American Tail: Fievel Goes West,An American Tail Fievel Goes West,English,1991,75,63.0,"['Adventure', 'Animation', 'Family', 'Western']","Some time after the Mousekewitz's have settled in America, they find that they are still having problems with the threat of cats. That makes them eager to try another home out in the west, where they are promised that mice and cats live in peace. Unfortunately, the one making this claim is an oily con artist named Cat R. Waul who is intent on his own sinister plan.",Average
3727,-,-,s728,An Extremely Goofy Movie,An Extremely Goofy Movie,English,2000,81,64.0,"['Animation', 'Family', 'Comedy']","It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.",Average
3734,s6158,-,-,An Interview with God,An Interview with God,English,2018,97,71.0,"['Drama', 'Mystery']",An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime – with someone who claims to be God.,Good
